RadDecay File: Nuclides.Rec
Symbol, Name, Atomic Num,  Atomic Mass, Weight, Half Life, Units, Daugh 1, Branch1, Daugh 2, Branch2
Sc-46m  	Scandium	21	46	44.956	1,8720E+1	S	Sc-46   	1.0000
Sc-47   	Scandium	21	47	44.956	3,4220E+0	D
Sc-48   	Scandium	21	48	44.956	4,3670E+1	H
Sc-49   	Scandium	21	49	44.956	5,7400E+1	M
Se-73   	Selenium	34	73	78.960	7,1500E+0	H	As-73   	1.0000
Se-75   	Selenium	34	75	78.960	1,1978E+2	D
Se-79   	Selenium	34	79	78.960	6,5000E+4	Y
Si-31   	Silicon	14	31	28.085	1,5730E+2	M
Si-32   	Silicon	14	32	28.085	3,3000E+2	Y	P-32    	1.0000
Sm-147  	Samarium	62	147	150.360	1,0600E+11	Y
Sm-151  	Samarium	62	151	150.360	9,0000E+1	Y
Sm-153  	Samarium	62	153	150.360	4,6700E+1	H
Sn-113  	Tin	50	113	118.690	1,1510E+2	D	In-113m 	1.0000
Sn-117m 	Tin	50	117	118.690	1,3600E+1	D
Sn-119m 	Tin	50	119	118.690	2,9300E+2	D
Sn-123  	Tin	50	123	118.690	1,2920E+2	D
Sn-125  	Tin	50	125	118.690	9,6400E+0	D	Sb-125  	1.0000
Sn-126  	Tin	50	126	118.690	1,0000E+5	Y	Sb-126m 	1.0000
Sr-82   	Strontium	38	82	87.620	2,5000E+1	D	Rb-82   	1.0000
Sr-85   	Strontium	38	85	87.620	6,4840E+1	D
Sr-85m  	Strontium	38	85	87.620	6,7660E+1	M	Sr-85   	0.8730
Sr-87m  	Strontium	38	87	87.620	2,8050E+0	H	Rb-87   	0.0030
Sr-89   	Strontium	38	89	87.620	5,0550E+1	D
Sr-90   	Strontium	38	90	87.620	2,8600E+1	Y	Y-90    	1.0000
Sr-91   	Strontium	38	91	87.620	9,5000E+0	H	Y-91    	0.4260	Y-91m   	0.5740
Sr-92   	Strontium	38	92	87.620	2,7100E+0	H	Y-92    	1.0000
Sr-93   	Strontium	38	93	87.620	7,3000E+0	M	Y-93    	1.0000
Ta-182  	Tantalum	73	182	180.948	1,1474E+2	D
Tb-157  	Terbium	65	157	158.925	1,5000E+2	Y
Tb-160  	Terbium	65	160	158.925	7,2300E+1	D
Tb-162  	Terbium	65	162	158.925	7,7600E+0	M
Tc-95   	Technetium	43	95	99.000	2,0000E+1	H
Tc-95m  	Technetium	43	95	99.000	6,1000E+1	D	Tc-95   	0.0400
Tc-96   	Technetium	43	96	99.000	4,2800E+0	D
Tc-96m  	Technetium	43	96	99.000	5,1500E+1	M	Tc-96   	0.9800
Tc-97   	Technetium	43	97	99.000	2,6000E+6	Y
Tc-97m  	Technetium	43	97	99.000	8,9000E+1	D	Tc-97   	1.0000
Tc-98   	Technetium	43	98	99.000	4,2000E+6	Y
Tc-99   	Technetium	43	99	99.000	2,1300E+5	Y
Tc-99m  	Technetium	43	99	99.000	6,0200E+0	H	Tc-99   	1.0000
Tc-101  	Technetium	43	101	99.000	1,4200E+1	M
Te-121  	Tellurium	52	121	127.600	1,6800E+1	D
Te-121m 	Tellurium	52	121	127.600	1,5400E+2	D	Te-121  	0.8860
Te-123  	Tellurium	52	123	127.600	1,0000E+13	Y
Te-123m 	Tellurium	52	123	127.600	1,1970E+2	D	Te-123  	1.0000
Te-125m 	Tellurium	52	125	127.600	5,8000E+1	D
Te-127  	Tellurium	52	127	127.600	9,3500E+0	H
Te-127m 	Tellurium	52	127	127.600	1,0900E+2	D	Te-127  	0.9817
Te-129  	Tellurium	52	129	127.600	6,9600E+1	M	I-129   	1.0000
Te-129m 	Tellurium	52	129	127.600	3,3600E+1	D	Te-129  	0.6290	I-129   	0.3710
Te-131  	Tellurium	52	131	127.600	2,5000E+1	M	I-131   	1.0000
Te-131m 	Tellurium	52	131	127.600	3,0000E+1	H	Te-131  	0.2220	I-131   	0.7780
Te-132  	Tellurium	52	132	127.600	7,8200E+1	H	I-132   	1.0000
Te-133  	Tellurium	52	133	127.600	1,2450E+1	M	I-133   	1.0000
Te-133m 	Tellurium	52	133	127.600	5,5400E+1	M	Te-133  	0.1300	I-133   	0.8700
Te-134  	Tellurium	52	134	127.600	4,1800E+1	M	I-134   	1.0000
Th-226  	Thorium	90	226	232.038	3,0900E+1	M	Ra-222  	1.0000
Th-227  	Thorium	90	227	232.038	1,8718E+1	D	Ra-223  	1.0000
Th-228  	Thorium	90	228	232.038	1,9132E+0	Y	Ra-224  	1.0000
Th-229  	Thorium	90	229	232.038	7,3400E+3	Y	Ra-225  	1.0000
Th-230  	Thorium	90	230	232.038	7,7000E+4	Y	Ra-226  	1.0000
Th-231  	Thorium	90	231	232.038	2,5520E+1	H	Pa-231  	1.0000
Th-232  	Thorium	90	232	232.038	1,4050E+10	Y	Ra-228  	1.0000
Th-233  	Thorium	90	233	232.038	2,2300E+1	M	Pa-233  	1.0000
Th-234  	Thorium	90	234	232.038	2,4100E+1	D	Pa-234m 	1.0000
Ti-44   	Titanium	22	44	47.880	4,7300E+1	Y	Sc-44   	1.0000
Ti-45   	Titanium	22	45	47.880	3,0800E+0	H
Ti-51   	Titanium	22	51	47.880	5,7520E+0	M
Tl-200  	Thallium	81	200	204.383	2,6100E+1	H
Tl-201  	Thallium	81	201	204.383	7,3060E+1	H
Tl-202  	Thallium	81	202	204.383	1,2230E+1	D
Tl-204  	Thallium	81	204	204.383	3,7790E+0	Y
Tl-207  	Thallium	81	207	204.383	4,7700E+0	M
Tl-208  	Thallium	81	208	204.383	3,0530E+0	M
Tl-209  	Thallium	81	209	204.383	2,2000E+0	M	Pb-209  	1.0000
Tl-210  	Thallium	81	210	204.383	1,3000E+0	M	Pb-210  	1.0000
Tm-170  	Thulium	69	170	168.934	1,2860E+2	D
Tm-171  	Thulium	69	171	168.934	1,9200E+0	Y
U-230   	Uranium	92	230	238.029	2,0800E+1	D	Th-226  	1.0000
U-231   	Uranium	92	231	238.029	4,2000E+0	D	Pa-231  	1.0000
U-232   	Uranium	92	232	238.029	7,2000E+1	Y	Th-228  	1.0000
U-233   	Uranium	92	233	238.029	1,5920E+5	Y	Th-229  	1.0000
U-234   	Uranium	92	234	238.029	2,4450E+5	Y	Th-230  	1.0000
U-235   	Uranium	92	235	238.029	7,0380E+8	Y	Th-231  	1.0000
U-236   	Uranium	92	236	238.029	2,3415E+7	Y	Th-232  	1.0000
U-237   	Uranium	92	237	238.029	6,7500E+0	D	Np-237  	1.0000
U-238   	Uranium	92	238	238.029	4,4680E+9	Y	Th-234  	1.0000
U-239   	Uranium	92	239	238.029	2,3400E+1	M	Np-239  	1.0000
U-240   	Uranium	92	240	238.029	1,4100E+1	H	Np-240m 	1.0000
V-48    	Vanadium	23	48	50.942	1,5971E+1	D
V-49    	Vanadium	23	49	50.942	3,3000E+2	D
V-52    	Vanadium	23	52	50.942	3,7500E+0	M
W-181   	Tungsten	74	181	183.850	1,2095E+2	D
W-185   	Tungsten	74	185	183.850	7,5100E+1	D
W-187   	Tungsten	74	187	183.850	2,3830E+1	H	Re-187  	1.0000
W-188   	Tungsten	74	188	183.850	6,9400E+1	D	Re-188  	1.0000
Xe-122  	Xenon	54	122	131.290	2,0100E+1	H	I-122   	1.0000
Xe-123  	Xenon	54	123	131.290	2,1400E+0	H	I-123   	1.0000
Xe-125  	Xenon	54	125	131.290	1,6800E+1	H	I-125   	1.0000
Xe-127  	Xenon	54	127	131.290	3,6406E+1	D
Xe-129m 	Xenon	54	129	131.290	8,8900E+0	D
Xe-131m 	Xenon	54	131	131.290	1,1840E+1	D
Xe-133  	Xenon	54	133	131.290	5,2450E+0	D
Xe-133m 	Xenon	54	133	131.290	2,1900E+0	D	Xe-133  	1.0000
Xe-135  	Xenon	54	135	131.290	9,1100E+0	H	Cs-135  	1.0000
Xe-135m 	Xenon	54	135	131.290	1,5360E+1	M	Xe-135  	1.0000	Cs-135  	0.0000
Xe-137  	Xenon	54	137	131.290	3,8300E+0	M	Cs-137  	1.0000
Xe-138  	Xenon	54	138	131.290	1,4130E+1	M	Cs-138  	1.0000
Y-86    	Yttrium	39	86	88.091	1,4740E+1	H
Y-87    	Yttrium	39	87	88.091	8,0300E+1	H	Sr-87m  	1.0000
Y-88    	Yttrium	39	88	88.091	1,0660E+2	D
Y-90    	Yttrium	39	90	88.091	6,4100E+1	H
Y-90m   	Yttrium	39	90	88.091	3,1900E+0	H	Y-90    	1.0000
Y-91    	Yttrium	39	91	88.091	5,8510E+1	D
Y-91m   	Yttrium	39	91	88.091	4,9710E+1	M	Y-91    	1.0000
Y-92    	Yttrium	39	92	88.091	3,5400E+0	H
Y-93    	Yttrium	39	93	88.091	1,0100E+1	H	Zr-93   	1.0000
Yb-169  	Ytterbium	70	169	173.040	3,1970E+1	D
Yb-175  	Ytterbium	70	175	173.040	4,1900E+0	D
Zn-62   	Zinc	30	62	65.380	9,2600E+0	H	Cu-62   	1.0000
Zn-65   	Zinc	30	65	65.380	2,4440E+2	D
Zn-69   	Zinc	30	69	65.380	5,5600E+1	M
Zn-69m  	Zinc	30	69	65.380	1,3760E+1	H	Zn-69   	0.9997
Zr-86   	Zirconium	40	86	91.220	1,6500E+1	H	Y-86    	1.0000
Zr-88   	Zirconium	40	88	91.220	8,3400E+1	D	Y-88    	1.0000
Zr-89   	Zirconium	40	89	91.220	7,8430E+1	H
Zr-93   	Zirconium	40	93	91.220	1,5300E+6	Y	Nb-93m  	1.0000
Zr-95   	Zirconium	40	95	91.220	6,4020E+1	D	Nb-95   	0.9920	Nb-95m  	0.0080
Zr-97   	Zirconium	40	97	91.220	1,6900E+1	H	Nb-97   	0.0530	Nb-97m  	0.9470
