RadDecay Generated Info of: PHOTONS.REC
Probability, Energy(MeV), Nuclide
0.005139	0.021990	Ag-108m 
0.009732	0.022163	Ag-108m 
0.003138	0.024900	Ag-108m 
0.070866	0.079200	Ag-108m 
0.000000	0.030380	Ag-108m 
0.048134	0.002840	Ag-108m 
0.182240	0.021020	Ag-108m 
0.345810	0.021177	Ag-108m 
0.109830	0.023800	Ag-108m 
0.898810	0.433930	Ag-108m 
0.903930	0.614370	Ag-108m 
0.904990	0.722950	Ag-108m 
0.052940	0.002980	Ag-109m 
0.098760	0.021990	Ag-109m 
0.187050	0.022163	Ag-109m 
0.060305	0.024900	Ag-109m 
0.037200	0.088032	Ag-109m 
0.000158	0.002840	Ag-110  
0.000605	0.021020	Ag-110  
0.001148	0.021177	Ag-110  
0.000365	0.023800	Ag-110  
0.044865	0.657750	Ag-110  
0.000969	1.046000	Ag-110  
0.000748	0.002980	Ag-110m 
0.001956	0.021990	Ag-110m 
0.003705	0.022163	Ag-110m 
0.001194	0.024900	Ag-110m 
0.000096	0.098856	Ag-110m 
0.000161	0.003130	Ag-110m 
0.000615	0.022984	Ag-110m 
0.001161	0.023174	Ag-110m 
0.000380	0.026100	Ag-110m 
0.001057	0.365440	Ag-110m 
0.036434	0.446800	Ag-110m 
0.027656	0.620350	Ag-110m 
0.002341	0.626250	Ag-110m 
0.943880	0.657750	Ag-110m 
0.001416	0.676600	Ag-110m 
0.106750	0.677610	Ag-110m 
0.064656	0.686990	Ag-110m 
0.166780	0.706670	Ag-110m 
0.002832	0.708120	Ag-110m 
0.009100	0.734500	Ag-110m 
0.046439	0.744260	Ag-110m 
0.222760	0.763930	Ag-110m 
0.072773	0.818020	Ag-110m 
0.725840	0.884670	Ag-110m 
0.341870	0.937480	Ag-110m 
0.001246	0.997230	Ag-110m 
0.001321	1.334300	Ag-110m 
0.242580	1.384300	Ag-110m 
0.040020	1.475800	Ag-110m 
0.130630	1.505000	Ag-110m 
0.011798	1.562300	Ag-110m 
0.000064	0.003130	Ag-111  
0.000245	0.022984	Ag-111  
0.000462	0.023174	Ag-111  
0.000151	0.026100	Ag-111  
0.001202	0.096750	Ag-111  
0.012291	0.245390	Ag-111  
0.066800	0.342130	Ag-111  
0.000559	0.654720	Ag-111  
0.004409	0.001254	Al-26   
0.025000	1.129700	Al-26   
0.997600	1.808700	Al-26   
0.002400	2.938200	Al-26   
1.636200	0.511000	Al-26   
1.000000	1.778900	Al-28   
0.427000	0.013900	Am-241  
0.024000	0.026345	Am-241  
0.001060	0.033205	Am-241  
0.359000	0.059537	Am-241  
0.001793	0.069231	Am-241  
0.126620	0.014300	Am-242  
0.036628	0.099550	Am-242  
0.058888	0.103760	Am-242  
0.027700	0.117000	Am-242  
0.000138	0.044545	Am-242  
0.196510	0.015000	Am-242  
0.000364	0.042200	Am-242  
0.299270	0.014600	Am-242m 
0.000001	0.048630	Am-242m 
0.003848	0.013900	Am-242m 
0.001952	0.049370	Am-242m 
0.001649	0.108310	Am-242m 
0.390500	0.013900	Am-243  
0.055440	0.043534	Am-243  
0.660000	0.074670	Am-243  
0.003366	0.086720	Am-243  
0.005544	0.117660	Am-243  
0.001254	0.142180	Am-243  
0.001644	0.048438	Am-243  
1.169400	0.015000	Am-244  
0.048300	0.099400	Am-244  
0.022627	0.104610	Am-244  
0.036087	0.109290	Am-244  
